match_id,date,score,referee,referee_id,yellow_cards,red_cards,second_yellow_cards,total_cards
3857256,2022-12-02,2-3,Fernando Andrés Rapallini,1121,11,0,0,11
3869151,2022-12-03,2-1,Szymon Marciniak,367,2,0,0,2
3857257,2022-11-30,1-0,Mustapha Ghorbal,2311,3,0,0,3
3857258,2022-11-24,2-0,Alireza Faghani,741,3,0,0,3
3857288,2022-11-26,0-1,Daniel Siebert,225,3,0,0,3
3857267,2022-11-29,1-2,Clément Turpin,76,1,0,0,1
3869321,2022-12-09,2-2,Antonio Miguel Mateu Lahoz,180,15,0,1,16
3857287,2022-11-24,0-0,Clément Turpin,76,2,0,0,2
3869486,2022-12-10,1-0,Facundo Tello Figueroa,1094,3,0,1,4
3869685,2022-12-18,3-3,Szymon Marciniak,367,8,0,0,8
3857260,2022-11-30,1-2,Michael Oliver,1,7,0,0,7
3857264,2022-11-30,0-2,Danny Desmond Makkelie,293,2,0,0,2
3857266,2022-11-26,2-1,Szymon Marciniak,367,3,0,0,3
3857289,2022-11-26,2-0,Daniele Orsato,269,5,0,0,5
3857269,2022-11-28,1-0,Ivan Arcides Barton Cisneros,1834,2,0,0,2
3857294,2022-11-29,2-0,Bakary Papa Gassama,736,1,0,0,1
3869254,2022-12-06,6-1,César Arturo Ramos Palazuelos,740,2,0,0,2
3869118,2022-12-04,3-0,Ivan Arcides Barton Cisneros,1834,1,0,0,1
3869684,2022-12-17,2-1,Abdulrahman Ibrahim Al Jassim,2521,2,0,0,2
3869519,2022-12-13,3-0,Daniele Orsato,269,4,0,0,4
3869354,2022-12-10,1-2,Wilton Pereira Sampaio,986,4,0,0,4
3869552,2022-12-14,2-0,César Arturo Ramos Palazuelos,740,1,0,0,1
3869420,2022-12-09,1-1,Michael Oliver,1,5,0,0,5
3869220,2022-12-06,0-0,Fernando Andrés Rapallini,1121,2,0,0,2
3869219,2022-12-05,1-1,Ismail Elfath,438,2,0,0,2
3869253,2022-12-05,4-1,Clément Turpin,76,1,0,0,1
3869152,2022-12-04,3-1,Jesús Valenzuela Sáez,1847,3,0,0,3
3869117,2022-12-03,3-1,Wilton Pereira Sampaio,986,2,0,0,2
3857270,2022-11-28,2-0,Alireza Faghani,741,5,0,0,5
3857263,2022-11-27,1-1,Danny Desmond Makkelie,293,4,0,0,4
3857259,2022-11-28,3-3,Mohamed Abdulla Hassan Mohd,737,4,0,0,4
3857295,2022-11-27,0-1,Michael Oliver,1,6,0,0,6
3857283,2022-11-27,0-2,César Arturo Ramos Palazuelos,740,2,0,0,2
3857284,2022-11-23,1-2,Ivan Arcides Barton Cisneros,1834,0,0,0,0
3857282,2022-11-21,1-1,Abdulrahman Ibrahim Al Jassim,2521,6,0,0,6
3857286,2022-11-20,0-2,Daniele Orsato,269,6,0,0,6
3857301,2022-11-25,1-3,Antonio Miguel Mateu Lahoz,180,6,0,0,6
3857300,2022-11-22,1-2,Slavko Vinčić,943,6,0,0,6
3857299,2022-11-28,2-3,Anthony Taylor,8,4,0,0,4
3857298,2022-11-24,3-2,Ismail Elfath,438,6,0,0,6
3857297,2022-11-26,2-0,Wilton Pereira Sampaio,986,5,0,0,5
3857296,2022-12-01,0-0,Anthony Taylor,8,1,0,0,1
3857293,2022-12-02,0-2,Daniel Siebert,225,7,0,0,7
3857292,2022-12-01,2-4,Stéphanie Frappart,128,1,0,0,1
3857291,2022-11-23,7-0,,,2,0,0,2
3857290,2022-11-24,1-0,Facundo Tello Figueroa,1094,3,0,0,3
3857285,2022-11-21,0-2,Wilton Pereira Sampaio,986,3,0,0,3
3857281,2022-11-27,4-1,Andrés Matonte,1814,4,0,0,4
3857280,2022-12-02,1-0,Ismail Elfath,438,6,0,1,7
3857279,2022-11-22,4-1,Victor Miguel de Freitas Gomes,2366,3,0,0,3
3857278,2022-11-29,0-1,Antonio Miguel Mateu Lahoz,180,4,0,0,4
3857277,2022-11-23,0-0,Fernando Andrés Rapallini,1121,1,0,0,1
3857276,2022-12-01,1-2,Raphael Claus,2638,4,0,0,4
